t_index 	term                	df 
2817    	deutch              	8  
2818    	deutsch             	1  
2819    	devast              	58 
2820    	devastatingli       	1  
2821    	develop             	97 
2822    	deviat              	1  
2823    	devic               	15 
2824    	devilish            	1  
2825    	devis               	1  
2826    	devot               	15 
2827    	devour              	2  
2828    	devoutli            	1  
2829    	dewat               	2  
2830    	dewin               	2  
2831    	dhabi               	4  
2832    	dhahran             	12 
2833    	dharan              	1  
2834    	dhingra             	1  
2835    	dhrumal             	1  
2836    	di                  	165
2837    	diabak              	1  
2838    	diagnos             	5  
2839    	diagnosi            	1  
2840    	diagnost            	1  
2841    	diagnostico         	1  
2842    	diagram             	1  
2843    	dialect             	1  
2844    	diallo              	2  
2845    	dialo               	3  
2846    	dialogu             	8  
2847    	diamet              	3  
2848    	diamond             	3  
2849    	dian                	2  
2850    	diann               	3  
2851    	diari               	1  
2852    	diarrhea            	3  
2853    	diaz                	2  
2854    	dick                	36 
2855    	dickinson           	1  
2856    	dictablanda         	1  
2857    	dictadura           	1  
2858    	dictat              	29 
2859    	dictatori           	3  
2860    	dictatorship        	10 
2861    	diction             	4  
2862    	dictionari          	1  
2863    	dictment            	1  
2864    	didn                	128
2865    	die                 	35 
2866    	diego               	5  
2867    	dienstbier          	2  
2868    	diesel              	2  
2869    	diet                	3  
2870    	differ              	53 
2871    	difficult           	84 
2872    	difficulti          	21 
2873    	diffus              	1  
2874    	dig                 	49 
2875    	digest              	1  
2876    	digger              	3  
2877    	digit               	4  
2878    	dignitari           	5  
2879    	digniti             	8  
2880    	dilapid             	1  
2881    	dilemma             	4  
2882    	dilfer              	1  
2883    	dilig               	1  
2884    	dilut               	1  
2885    	dime                	1  
2886    	dimens              	2  
2887    	diminish            	5  
2888    	diminut             	1  
2889    	dimitr              	1  
2890    	dimitri             	2  
2891    	dimmer              	1  
2892    	dina                	1  
2893    	dinar               	2  
2894    	dine                	8  
2895    	dinghi              	4  
2896    	dingi               	1  
2897    	dinh                	2  
2898    	dinkic              	3  
2899    	dinner              	10 
2900    	dioulo              	1  
2901    	dip                 	2  
2902    	diplomaci           	8  
2903    	diplomat            	69 
2904    	diplospeak          	4  
2905    	dire                	1  
2906    	direct              	75 
2907    	directli            	40 
2908    	director            	102
2909    	directrelief        	1  
2910    	diring              	1  
2911    	dirksen             	1  
2912    	dirt                	35 
2913    	dirti               	11 
2914    	dirtiest            	1  
2915    	disabl              	4  
2916    	disadvantag         	1  
2917    	disaffect           	1  
2918    	disagr              	3  
2919    	disagre             	8  
2920    	disappear           	24 
2921    	disappoint          	25 
2922    	disapprov           	1  
2923    	disarm              	1  
2924    	disarma             	1  
2925    	disarrai            	2  
2926    	disassembl          	1  
2927    	disast              	76 
2928    	disastr             	8  
2929    	disband             	6  
2930    	disbar              	4  
2931    	disbelief           	5  
2932    	disc                	1  
2933    	discard             	2  
2934    	discharg            	3  
2935    	disciplin           	13 
2936    	disciplinari        	6  
2937    	disclos             	12 
2938    	disclosur           	7  
2939    	discomfort          	4  
2940    	discont             	2  
2941    	discontinu          	1  
2942    	discord             	2  
2943    	discothequ          	1  
2944    	discount            	1  
2945    	discourag           	7  
2946    	discov              	37 
2947    	discoveri           	12 
2948    	discovi             	1  
2949    	discredit           	10 
2950    	discreet            	1  
2951    	discrep             	4  
2952    	discret             	4  
2953    	discrimin           	2  
2954    	discuss             	75 
2955    	disdain             	4  
2956    	diseas              	9  
2957    	disenfranchis       	3  
2958    	disgaz              	1  
2959    	disgrac             	12 
2960    	disgruntl           	5  
2961    	disguis             	9  
2962    	disgust             	1  
2963    	dish                	1  
2964    	dishdasha           	1  
2965    	dishearten          	2  
2966    	dishonor            	2  
2967    	disillus            	2  
2968    	disinfect           	5  
2969    	disinform           	1  
2970    	disintegr           	10 
2971    	dislik              	1  
2972    	disloc              	2  
2973    	dislodg             	2  
2974    	dismai              	3  
2975    	dismal              	1  
2976    	dismantl            	8  
2977    	dismemb             	1  
2978    	dismiss             	32 
2979    	disobedi            	14 
2980    	disord              	3  
2981    	disori              	2  
2982    	dispar              	4  
2983    	disparag            	2  
2984    	dispatch            	31 
2985    	dispel              	2  
2986    	dispens             	1  
2987    	dispers             	13 
2988    	displac             	2  
2989    	displai             	29 
2990    	displeas            	1  
2991    	displeasur          	1  
2992    	dispos              	12 
2993    	disposit            	1  
2994    	disprov             	2  
2995    	disput              	33 
2996    	disqualifi          	6  
2997    	disquiet            	1  
2998    	disregard           	5  
2999    	disreput            	1  
3000    	disrespect          	2  
3001    	disrupt             	9  
3002    	dissect             	1  
3003    	dissemin            	4  
3004    	dissent             	5  
3005    	dissid              	6  
3006    	dissip              	1  
3007    	dissolv             	12 
3008    	dissuas             	1  
3009    	distanc             	16 
3010    	distant             	7  
3011    	distinct            	7  
3012    	distinctli          	1  
3013    	distinguish         	7  
3014    	distort             	6  
3015    	distract            	8  
3016    	distraught          	13 
3017    	distress            	4  
3018    	distribut           	26 
3019    	district            	38 
3020    	distrust            	1  
3021    	disturb             	9  
3022    	disun               	2  
3023    	ditch               	5  
3024    	dive                	21 
3025    	diver               	67 
3026    	divers              	8  
3027    	diversifi           	1  
3028    	divert              	8  
3029    	divid               	33 
3030    	divis               	26 
3031    	divorc              	3  
3032    	divulg              	4  
3033    	dixon               	3  
3034    	dixvil              	1  
3035    	dizzi               	2  
3036    	djahouri            	1  
3037    	djibouti            	20 
3038    	djikal              	1  
3039    	djila               	1  
3040    	djindjic            	17 
3041    	djukanov            	3  
3042    	djuro               	1  
3043    	dmitri              	12 
3044    	dmon                	1  
3045    	dna                 	5  
3046    	dnevnik             	1  
3047    	do                  	1  
3048    	doan                	1  
3049    	dobrica             	1  
3050    	dochterman          	1  
3051    	dock                	42 
3052    	docksid             	2  
3053    	doctor              	52 
3054    	doctorswithoutbord  	1  
3055    	doctrin             	1  
3056    	document            	44 
3057    	documentari         	1  
3058    	dodg                	1  
3059    	dodgi               	3  
3060    	doer                	1  
3061    	doesn               	43 
3062    	dog                 	32 
3063    	dogged              	1  
3064    	doggedli            	1  
3065    	doha                	1  
3066    	dokic               	9  
3067    	doll                	1  
3068    	dollar              	47 
3069    	dolphin             	1  
3070    	domain              	1  
3071    	dome                	2  
3072    	domest              	16 
3073    	domin               	42 
3074    	dominican           	1  
3075    	dominik             	16 
3076    	dominikov           	4  
3077    	dominion            	2  
3078    	dominiqu            	1  
3079    	domino              	3  
3080    	don                 	210
3081    	donald              	35 
3082    	donaldson           	2  
3083    	donat               	19 
3084    	dong                	1  
3085    	donkei              	1  
3086    	donna               	2  
3087    	donnel              	3  
3088    	donor               	11 
3089    	dooda               	1  
3090    	doom                	9  
3091    	door                	55 
3092    	doorwai             	2  
3093    	dopher              	1  
3094    	dora                	1  
3095    	dorcol              	1  
3096    	doreen              	1  
3097    	dori                	1  
3098    	dormitori           	1  
3099    	dorothi             	3  
3100    	dose                	1  
3101    	dostoyevski         	1  
3102    	dot                 	3  
3103    	doubl               	46 
3104    	doubt               	52 
3105    	doudou              	1  
3106    	doug                	1  
3107    	dougal              	9  
3108    	dougherti           	2  
3109    	dougla              	1  
3110    	dour                	2  
3111    	dove                	1  
3112    	dover               	24 
3113    	dow                 	2  
3114    	down                	4  
3115    	downbeat            	1  
3116    	downfal             	19 
3117    	downplai            	3  
3118    	downpour            	1  
3119    	downstair           	2  
3120    	downtown            	29 
3121    	dows                	1  
3122    	doyal               	1  
3123    	doze                	1  
3124    	dozen               	114
3125    	dozo                	1  
3126    	dpko                	1  
3127    	dpmo                	2  
3128    	dr                  	8  
3129    	draconian           	2  
3130    	draft               	16 
3131    	drag                	15 
3132    	dragan              	6  
3133    	dragana             	1  
3134    	dragesa             	1  
3135    	dragisha            	1  
3136    	dragoljub           	8  
3137    	dragomir            	2  
3138    	dragon              	2  
3139    	drain               	8  
3140    	drama               	13 
3141    	draman              	15 
3142    	dramat              	33 
3143    	drape               	18 
3144    	draper              	2  
3145    	draskov             	4  
3146    	drastic             	1  
3147    	draw                	48 
3148    	drawn               	17 
3149    	dread               	1  
3150    	dream               	20 
3151    	dress               	24 
3152    	dresser             	1  
3153    	drew                	23 
3154    	drexel              	1  
3155    	dri                 	7  
3156    	drift               	3  
3157    	drill               	8  
3158    	drink               	13 
3159    	drip                	1  
3160    	drissa              	3  
3161    	drive               	65 
3162    	driven              	17 
3163    	driver              	24 
3164    	drivewai            	1  
3165    	drizzl              	1  
3166    	drizzli             	1  
3167    	drop                	52 
3168    	drought             	2  
3169    	drove               	22 
3170    	drown               	6  
3171    	drub                	1  
3172    	drudg               	1  
3173    	drug                	41 
3174    	drugli              	1  
3175    	drum                	1  
3176    	drumbeat            	2  
3177    	drummer             	2  
3178    	drunk               	3  
3179    	drunken             	1  
3180    	dry                 	10 
3181    	drydock             	1  
3182    	dtic                	2  
3183    	du                  	1  
3184    	dual                	1  
3185    	duan                	1  
3186    	dub                 	3  
3187    	dubai               	5  
3188    	dubiou              	1  
3189    	duboc               	1  
3190    	duc                 	7  
3191    	duck                	4  
3192    	duct                	6  
3193    	dudlei              	12 
3194    	duel                	3  
3195    	duffel              	2  
3196    	duffi               	4  
3197    	duffl               	1  
3198    	dug                 	22 
3199    	duglon              	1  
3200    	duguid              	2  
3201    	duke                	1  
3202    	dull                	1  
3203    	duluth              	1  
3204    	duma                	1  
3205    	dump                	12 
3206    	duo                 	1  
3207    	duopoli             	1  
3208    	dupe                	1  
3209    	duplic              	1  
3210    	durango             	2  
3211    	duress              	1  
3212    	dusan               	1  
3213    	dusk                	2  
3214    	dust                	13 
3215    	dusti               	11 
3216    	dutch               	3  
3217    	duti                	27 
3218    	duval               	1  
3219    	dwarf               	1  
3220    	dwell               	2  
3221    	dweller             	3  
3222    	dwight              	2  
3223    	dwindl              	11 
3224    	dwyer               	1  
3225    	dy                  	16 
3226    	dye                 	2  
3227    	dygalo              	2  
3228    	dynam               	4  
3229    	dynamit             	8  
3230    	dynasti             	1  
3231    	dysfunct            	1  
3232    	eager               	18 
3233    	eagl                	1  
3234    	eagleton            	1  
3235    	eaker               	1  
3236    	eant                	1  
3237    	ear                 	7  
3238    	eardrum             	2  
3239    	earli               	181
3240    	earlier             	188
3241    	earliest            	7  
3242    	earmark             	8  
3243    	earn                	23 
3244    	earnest             	5  
3245    	earshot             	1  
3246    	earth               	29 
3247    	earthmov            	3  
3248    	earthquak           	111
3249    	eas                 	27 
3250    	easi                	34 
3251    	easier              	12 
3252    	easiest             	2  
3253    	easili              	25 
3254    	easlei              	1  
3255    	east                	128
3256    	eastern             	40 
3257    	eat                 	15 
3258    	eaten               	3  
3259    	eavesdrop           	1  
3260    	eb                  	3  
3261    	ebb                 	5  
3262    	ebri                	1  
3263    	eccel               	1  
3264    	echeverria          	1  
3265    	echo                	28 
3266    	eclips              	2  
3267    	ecolog              	1  
3268    	ecologist           	1  
3269    	econolin            	1  
3270    	econom              	83 
3271    	economi             	73 
3272    	economist           	12 
3273    	ecstat              	1  
3274    	ecuador             	10 
3275    	ecuadorian          	1  
3276    	ed                  	1  
3277    	edberg              	1  
3278    	edg                 	49 
3279    	edgar               	1  
3280    	edict               	1  
3281    	edific              	1  
3282    	edikipa             	1  
3283    	edinburgh           	1  
3284    	edit                	16 
3285    	editor              	16 
3286    	editori             	16 
3287    	edmond              	32 
3288    	edmund              	25 
3289    	edmundo             	1  
3290    	edt                 	13 
3291    	eduard              	1  
3292    	eduardo             	1  
3293    	educ                	40 
3294    	edward              	6  
3295    	edwardo             	1  
3296    	edwin               	2  
3297    	ee                  	3  
3298    	eeri                	2  
3299    	eerili              	1  
3300    	effect              	47 
3301    	effici              	4  
3302    	effort              	185
3303    	effortlessli        	1  
3304    	egg                 	5  
3305    	egoavil             	3  
3306    	egotist             	2  
3307    	egregi              	1  
3308    	egypt               	26 
3309    	egyptian            	31 
3310    	ehud                	8  
3311    	ei                  	6  
3312    	eighteen            	1  
3313    	eighth              	22 
3314    	eisenhow            	3  
3315    	eject               	2  
3316    	ekra                	1  
3317    	el                  	74 
3318    	elabor              	24 
3319    	elana               	1  
3320    	elast               	1  
3321    	elat                	1  
3322    	elayn               	1  
3323    	elbaum              	1  
3324    	elbow               	7  
3325    	elder               	6  
3326    	elderli             	5  
3327    	eldest              	3  
3328    	elect               	312
3329    	elector             	80 
3330    	electr              	42 
3331    	electrician         	3  
3332    	electrifi           	1  
3333    	electrocut          	1  
3334    	electron            	11 
3335    	eleg                	5  
3336    	element             	21 
3337    	elementari          	2  
3338    	elena               	6  
3339    	elev                	4  
3340    	eleven              	12 
3341    	elia                	4  
3342    	eliac               	1  
3343    	elier               	1  
3344    	elig                	10 
3345    	elimin              	32 
3346    	elit                	7  
3347    	elizabeth           	7  
3348    	ellen               	5  
3349    	elli                	2  
3350    	elliot              	2  
3351    	ellips              	2  
3352    	ellipt              	1  
3353    	ellwood             	1  
3354    	eln                 	1  
3355    	elong               	1  
3356    	elton               	1  
3357    	elud                	12 
3358    	elus                	4  
3359    	em                  	2  
3360    	eman                	1  
3361    	emanuel             	1  
3362    	embargo             	31 
3363    	embark              	4  
3364    	embarrass           	10 
3365    	embassi             	118
3366    	embattl             	9  
3367    	embed               	1  
3368    	embellish           	1  
3369    	emblemat            	1  
3370    	embrac              	20 
3371    	embroil             	1  
3372    	emerg               	111
3373    	emerson             	2  
3374    	emigr               	7  
3375    	emil                	5  
3376    	emili               	2  
3377    	emilio              	2  
3378    	emin                	2  
3379    	emir                	7  
3380    	emiss               	1  
3381    	emissari            	1  
3382    	emit                	1  
3383    	emkne               	1  
3384    	emmanuel            	3  
3385    	emot                	42 
3386    	emotion             	6  
3387    	empathet            	1  
3388    	empathi             	1  
3389    	emperor             	4  
3390    	emphas              	9  
3391    	emphasi             	7  
3392    	emphat              	5  
3393    	empir               	6  
3394    	emploi              	15 
3395    	employ              	4  
3396    	employe             	50 
3397    	empow               	2  
3398    	empt                	1  
3399    	empti               	14 
3400    	emul                	3  
3401    	en                  	32 
3402    	enabl               	10 
3403    	enact               	4  
3404    	encircl             	1  
3405    	enclos              	1  
3406    	encor               	1  
3407    	encount             	15 
3408    	encourag            	33 
3409    	end                 	84 
3410    	endang              	5  
3411    	endear              	1  
3412    	endeavor            	3  
3413    	endem               	1  
3414    	endors              	12 
3415    	endur               	18 
3416    	enemi               	46 
3417    	energ               	3  
3418    	energet             	1  
3419    	energi              	29 
3420    	enforc              	46 
3421    	engag               	25 
3422    	engend              	2  
3423    	engin               	54 
3424    	engineerman         	1  
3425    	engineman           	1  
3426    	england             	2  
3427    	english             	18 
3428    	engrav              	1  
3429    	engulf              	7  
3430    	enhanc              	5  
3431    	enigmat             	1  
3432    	enjoi               	19 
3433    	enjoin              	1  
3434    	enlarg              	4  
3435    	enlist              	14 
3436    	enmesh              	1  
3437    	enmiti              	2  
3438    	enorm               	27 
3439    	enqvist             	1  
3440    	enrag               	2  
3441    	enrich              	1  
3442    	ensembl             	2  
3443    	ensign              	4  
3444    	ensnar              	2  
3445    	ensu                	9  
3446    	ensul               	1  
3447    	ensur               	34 
3448    	entail              	1  
3449    	entangl             	2  
3450    	enter               	67 
3451    	enterpris           	4  
3452    	entertain           	5  
3453    	enthusiasm          	8  
3454    	enthusiast          	7  
3455    	entic               	4  
3456    	entir               	36 
3457    	entireti            	1  
3458    	entiti              	2  
3459    	entitl              	6  
3460    	entomb              	4  
3461    	entourag            	3  
3462    	entranc             	7  
3463    	entrench            	2  
3464    	entrepreneur        	2  
3465    	entrepreneuri       	2  
3466    	entrepreneurship    	5  
3467    	entri               	3  
3468    	entrust             	2  
3469    	envelop             	1  
3470    	envi                	1  
3471    	environ             	8  
3472    	environment         	11 
3473    	environmentalist    	3  
3474    	envis               	2  
3475    	envisag             	1  
3476    	envoi               	7  
3477    	epa                 	1  
3478    	epic                	2  
3479    	epicent             	31 
3480    	epidem              	2  
3481    	epiphani            	1  
3482    	episcop             	3  
3483    	episod              	2  
3484    	equal               	20 
3485    	equanim             	1  
3486    	equip               	89 
3487    	equival             	12 
3488    	er                  	2  
3489    	era                 	53 
3490    	eras                	11 
3491    	erect               	7  
3492    	erena               	1  
3493    	eri                 	3  
3494    	eric                	6  
3495    	erinson             	1  
3496    	erlang              	1  
3497    	ernesto             	4  
3498    	erni                	4  
3499    	erod                	9  
3500    	eros                	4  
3501    	err                 	1  
3502    	errand              	1  
3503    	errat               	8  
3504    	erron               	3  
3505    	error               	47 
3506    	erupt               	18 
3507    	es                  	5  
3508    	esam                	1  
3509    	escal               	9  
3510    	escap               	85 
3511    	escape              	28 
3512    	escort              	10 
3513    	escud               	3  
3514    	espehello           	1  
3515    	espi                	6  
3516    	espionag            	34 
3517    	espitia             	1  
3518    	espo                	1  
3519    	espous              	1  
3520    	essai               	3  
3521    	essenc              	3  
3522    	essenti             	16 
3523    	est                 	1  
3524    	establish           	51 
3525    	estat               	18 
3526    	estim               	63 
3527    	estrada             	1  
3528    	estrang             	1  
3529    	etar                	1  
3530    	etat                	7  
3531    	etcetera            	1  
3532    	ethan               	2  
3533    	ethic               	7  
3534    	ethiopia            	1  
3535    	ethnic              	34 
3536    	ethnocentr          	2  
3537    	etoge               	1  
3538    	eu                  	8  
3539    	eucom               	1  
3540    	eugen               	4  
3541    	eulog               	1  
3542    	eulogi              	3  
3543    	euphor              	1  
3544    	euphoria            	6  
3545    	europ               	50 
3546    	european            	52 
3547    	ev                  	63 
3548    	evacu               	24 
3549    	evad                	7  
3550    	evalu               	11 
3551    	evan                	5  
3552    	evanel              	1  
3553    	evapor              	3  
3554    	evas                	14 
3555    	evelyn              	2  
3556    	even                	64 
3557    	evenh               	1  
3558    	evenhand            	1  
3559    	evenli              	5  
3560    	event               	85 
3561    	eventu              	45 
3562    	everett             	1  
3563    	eversinc            	1  
3564    	evert               	11 
3565    	everydai            	10 
3566    	evi                 	4  
3567    	evict               	2  
3568    	evid                	131
3569    	evidenc             	1  
3570    	evil                	2  
3571    	evoc                	1  
3572    	evok                	1  
3573    	evolut              	3  
3574    	ew                  	4  
3575    	exacerb             	1  
3576    	exact               	8  
3577    	exagger             	4  
3578    	exalt               	1  
3579    	exam                	4  
3580    	examin              	49 
3581    	exampl              	2  
3582    	exasper             	2  
3583    	excav               	12 
3584    	exce                	4  
3585    	exceed              	1  
3586    	exceedingli         	1  
3587    	excel               	5  
3588    	except              	7  
3589    	excerpt             	5  
3590    	excess              	2  
3591    	exchang             	23 
3592    	excit               	9  
3593    	exclaim             	1  
3594    	exclam              	2  
3595    	exclud              	20 
3596    	exclus              	20 
3597    	exclusion           	2  
3598    	exclusionari        	1  
3599    	excruci             	1  
3600    	excus               	7  
3601    	execut              	71 
3602    	exemplari           	1  
3603    	exemplifi           	1  
3604    	exempt              	2  
3605    	exercis             	22 
3606    	exhaust             	26 
3607    	exhibit             	3  
3608    	exhilar             	1  
3609    	exhort              	2  
3610    	exil                	43 
3611    	exist               	21 
3612    	exit                	25 
3613    	exocet              	1  
3614    	exodu               	3  
3615    	exoner              	1  
3616    	expand              	18 
3617    	expans              	5  
3618    	expatri             	3  
3619    	expect              	187
3620    	expectantli         	1  
3621    	expedi              	2  
3622    	expedit             	4  
3623    	expel               	5  
3624    	expenditur          	2  
3625    	expens              	21 
3626    	experi              	46 
3627    	experienc           	8  
3628    	expert              	118
3629    	expertis            	8  
3630    	expir               	9  
3631    	explain             	35 
3632    	explan              	13 
3633    	explicit            	4  
3634    	explicitli          	6  
3635    	explod              	43 
3636    	exploit             	7  
3637    	explor              	13 
3638    	explos              	223
3639    	export              	22 
3640    	expos               	8  
3641    	express             	76 
3642    	expuls              	1  
3643    	exquisit            	1  
3644    	extend              	38 
3645    	extens              	34 
3646    	extent              	27 
3647    	exterior            	3  
3648    	extern              	14 
3649    	extinct             	2  
3650    	extinguish          	2  
3651    	extol               	2  
3652    	extort              	4  
3653    	extra               	21 
3654    	extract             	6  
3655    	extradit            	33 
3656    	extraordinari       	12 
3657    	extraordinarili     	2  
3658    	extravag            	2  
3659    	extrem              	21 
3660    	extremist           	17 
3661    	extric              	2  
3662    	exuber              	1  
3663    	exud                	1  
3664    	exult               	1  
3665    	ey                  	62 
3666    	eyadema             	1  
3667    	eyal                	1  
3668    	eyebal              	1  
3669    	eyelid              	1  
3670    	eyesburn            	1  
3671    	eyewit              	10 
3672    	eyewitnesss         	1  
3673    	fa                  	3  
3674    	faa                 	1  
3675    	fabiani             	1  
3676    	fabric              	5  
3677    	facad               	4  
3678    	face                	186
3679    	facial              	1  
3680    	facil               	45 
3681    	facilit             	4  
3682    	fact                	110
3683    	factbook            	4  
3684    	faction             	13 
3685    	facto               	2  
3686    	factor              	23 
3687    	factori             	20 
3688    	factual             	1  
3689    	fade                	24 
3690    	fadeyev             	1  
3691    	fadhli              	1  
3692    	fagan               	1  
3693    	fahrenheit          	1  
3694    	fail                	115
3695    	failur              	16 
3696    	faint               	6  
3697    	faintli             	1  
3698    	fair                	46 
3699    	fairfax             	1  
3700    	fairleigh           	1  
3701    	fairli              	16 
3702    	faisal              	1  
3703    	faith               	9  
3704    	faithless           	1  
3705    	fake                	10 
3706    	fall                	68 
3707    	fallen              	27 
3708    	fallout             	1  
3709    	faln                	1  
3710    	fals                	30 
3711    	falsif              	1  
3712    	falsifi             	5  
3713    	falter              	4  
3714    	fame                	6  
3715    	famer               	1  
3716    	famili              	213
3717    	familiar            	17 
3718    	famou               	4  
3719    	fan                 	10 
3720    	fanci               	1  
3721    	fanfar              	2  
3722    	farawai             	3  
3723    	farc                	2  
3724    	fare                	1  
3725    	farera              	1  
3726    	farewel             	16 
3727    	farid               	1  
3728    	farina              	3  
3729    	farinella           	1  
3730    	farm                	9  
3731    	farmer              	8  
3732    	farmington          	1  
3733    	farrier             	1  
3734    	farther             	2  
3735    	farthest            	2  
3736    	fascin              	5  
3737    	fascist             	3  
3738    	fashion             	8  
3739    	faso                	8  
3740    	fast                	24 
3741    	faster              	11 
3742    	fastest             	2  
3743    	fat                 	2  
3744    	fatal               	8  
3745    	fatalist            	1  
3746    	fate                	33 
3747    	father              	76 
3748    	fatherless          	1  
3749    	fatigu              	7  
3750    	fatwa               	1  
3751    	fault               	29 
3752    	faulti              	1  
3753    	favor               	49 
3754    	favorit             	14 
3755    	faw                 	1  
3756    	fax                 	14 
3757    	fay                 	1  
3758    	fayettevil          	1  
3759    	fbi                 	113
3760    	fda                 	1  
3761    	fear                	109
3762    	fearfulli           	1  
3763    	fearless            	4  
3764    	feasibl             	4  
3765    	feast               	1  
3766    	feat                	8  
3767    	featur              	19 
3768    	feb                 	2  
3769    	februari            	3  
3770    	fed                 	15 
3771    	feder               	138
3772    	federalist          	1  
3773    	federico            	11 
3774    	fee                 	5  
3775    	feed                	14 
3776    	feel                	118
3777    	feet                	62 
3778    	fehn                	2  
3779    	feign               	1  
3780    	feingold            	1  
3781    	feinstein           	3  
3782    	felix               	9  
3783    	fell                	66 
3784    	fellow              	39 
3785    	felon               	4  
3786    	feloni              	13 
3787    	felt                	81 
3788    	femal               	13 
3789    	feminist            	1  
3790    	fenc                	6  
3791    	fend                	2  
3792    	ferdinand           	1  
3793    	ferment             	1  
3794    	fernand             	5  
3795    	fernandez           	1  
3796    	fernando            	5  
3797    	feroci              	1  
3798    	ferraro             	1  
3799    	ferreira            	3  
3800    	ferrer              	1  
3801    	ferrero             	12 
3802    	ferret              	2  
3803    	ferri               	4  
3804    	fertil              	3  
3805    	fervor              	5  
3806    	fest                	1  
3807    	festiv              	8  
3808    	fetch               	1  
3809    	fever               	6  
3810    	feverish            	1  
3811    	fewer               	17 
3812    	fewest              	1  
3813    	fh                  	1  
3814    	fhimah              	1  
3815    	fi                  	1  
3816    	fiance              	1  
3817    	fiberglass          	9  
3818    	fiction             	2  
3819    	fictiti             	3  
3820    	fidel               	5  
3821    	fidelia             	2  
3822    	fidget              	2  
3823    	fiefdom             	2  
3824    	field               	49 
3825    	fierc               	16 
3826    	fieri               	3  
3827    	fierrera            	1  
3828    	fife                	2  
3829    	fifteen             	3  
3830    	fifteenth           	1  
3831    	fifth               	1  
3832    	fifti               	2  
3833    	fight               	77 
3834    	fighter             	15 
3835    	figur               	93 
3836    	fijimori            	1  
3837    	file                	40 
3838    	filipov             	1  
3839    	fill                	62 
3840    	fillmor             	1  
3841    	film                	8  
3842    	filter              	1  
3843    	filth               	1  
3844    	final               	199
3845    	finalist            	5  
3846    	financ              	41 
3847    	financi             	63 
3848    	find                	215
3849    	fine                	43 
3850    	finest              	5  
3851    	finger              	13 
3852    	fingerprint         	5  
3853    	fingertip           	1  
3854    	finish              	59 
3855    	finit               	2  
3856    	fink                	3  
3857    	finland             	2  
3858    	finsburi            	1  
3859    	fir                 	4  
3860    	fire                	130
3861    	firearm             	12 
3862    	firebal             	1  
3863    	firebomb            	1  
3864    	firecrack           	2  
3865    	firefight           	6  
3866    	fireman             	4  
3867    	firepow             	2  
3868    	firerescu           	1  
3869    	fireston            	1  
3870    	firestorm           	1  
3871    	firework            	5  
3872    	firm                	32 
3873    	firmer              	1  
3874    	firmli              	11 
3875    	first               	1  
3876    	firstli             	1  
3877    	fiscal              	3  
3878    	fischer             	2  
3879    	fish                	10 
3880    	fisheri             	1  
3881    	fisherman           	2  
3882    	fishermen           	5  
3883    	fissur              	1  
3884    	fist                	21 
3885    	fit                 	27 
3886    	fitcher             	1  
3887    	fitter              	1  
3888    	fittingli           	1  
3889    	fitzgerald          	7  
3890    	fix                 	6  
3891    	fizzl               	1  
3892    	fl                  	1  
3893    	fla                 	17 
3894    	flabbergast         	1  
3895    	flag                	42 
3896    	flagrant            	2  
3897    	flair               	2  
3898    	flak                	1  
3899    	flake               	3  
3900    	flaku               	3  
3901    	flame               	9  
3902    	flank               	6  
3903    	flare               	3  
3904    	flash               	3  
3905    	flashbulb           	1  
3906    	flashlight          	1  
3907    	flashpoint          	3  
3908    	flat                	13 
3909    	flatb               	1  
3910    	flatli              	1  
3911    	flatten             	23 
3912    	flatter             	1  
3913    	flatwar             	1  
3914    	flaw                	15 
3915    	flawless            	2  
3916    	flawlessli          	1  
3917    	flea                	1  
3918    	fled                	72 
3919    	fledg               	1  
3920    	fledgl              	2  
3921    	flee                	36 
3922    	fleet               	72 
3923    	fleischer           	1  
3924    	flesh               	2  
3925    	fletchal            	1  
3926    	fletcher            	4  
3927    	flew                	33 
3928    	flex                	1  
3929    	flexibl             	2  
3930    	flfing              	1  
3931    	fli                 	2  
3932    	flier               	1  
3933    	flight              	49 
3934    	flimsi              	1  
3935    	fling               	1  
3936    	flint               	1  
3937    	flintoff            	2  
3938    	flip                	7  
3939    	float               	15 
3940    	floater             	1  
3941    	flood               	38 
3942    	floodlight          	1  
3943    	floodlit            	2  
3944    	floor               	38 
3945    	flop                	4  
3946    	flore               	15 
3947    	floresc             	1  
3948    	florez              	2  
3949    	florida             	42 
3950    	florist             	1  
3951    	floss               	1  
3952    	flotilla            	12 
3953    	flour               	2  
3954    	flourish            	3  
3955    	flow                	10 
3956    	flower              	8  
3957    	flown               	44 
3958    	floyd               	2  
3959    	fluctuat            	1  
3960    	fluid               	2  
3961    	flung               	8  
3962    	fluorid             	1  
3963    	flurri              	4  
3964    	flush               	1  
3965    	fluster             	2  
3966    	fluti               	1  
3967    	flux                	1  
3968    	fly                 	48 
3969    	fm                  	1  
3970    	focu                	44 
3971    	focus               	45 
3972    	focuss              	2  
3973    	foe                 	16 
3974    	fofana              	2  
3975    	fog                 	11 
3976    	foggi               	4  
3977    	foil                	6  
3978    	fold                	3  
3979    	folei               	2  
3980    	folk                	7  
3981    	folklor             	1  
3982    	follow              	70 
3983    	followup            	1  
3984    	foment              	3  
3985    	fond                	2  
3986    	font                	1  
3987    	food                	61 
3988    	fool                	2  
3989    	foolish             	1  
3990    	foot                	107
3991    	footag              	3  
3992    	footbal             	10 
3993    	foothil             	6  
